timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2016-09-27T21:30:00Z,"Ахтубинский район, г Ахтубинск, ул Добролюбова, 2",2016-09-27,Наезд на препятствие,Пасмурно,Мокрое,"В темное время суток, освещение включено",1,1,0,1,46.154451,48.286773
2016-09-26T21:30:00Z,"Советский район, г Астрахань, ул Боевая, 72",2016-09-26,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,3,0,1,48.021384,46.328699
2016-09-26T16:10:00Z,"Наримановский район, с Николаевка, ул 10 Пятилетки, 61",2016-09-26,Наезд на пешехода,Пасмурно,Сухое,Светлое время суток,1,2,0,1,47.722425,46.333696
2016-09-26T21:50:00Z,"Ленинский район, г Астрахань, ул Космонавта Комарова, 168",2016-09-26,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,2,0,1,48.12151,46.356633
2016-09-26T16:15:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, .",2016-09-26,Наезд на пешехода,Ясно,Сухое,Светлое время суток,1,2,0,1,48.032757,46.351968
2016-09-25T11:10:00Z,Красноярский район,2016-09-25,Опрокидывание,Ясно,Сухое,Светлое время суток,1,1,1,0,50.392586,53.602873
2016-09-25T05:00:00Z,"Советский район, г Астрахань, ул Кирова, 70",2016-09-25,Столкновение,Ясно,Сухое,"В темное время суток, освещение включено",2,3,0,2,48.038245,46.338133
2016-09-25T23:00:00Z,Наримановский район,2016-09-25,Наезд на пешехода,Ясно,Сухое,"В темное время суток, освещение отсутствует",1,2,0,1,47.33269,46.425089
2016-09-25T18:00:00Z,"Харабалинский район, г Харабали, ул Первомайская, 10",2016-09-25,Наезд на препятствие,Пасмурно,Сухое,"В темное время суток, освещение включено",1,1,0,1,47.239625,47.409376
2016-09-25T16:50:00Z,"Советский район, г Астрахань, ул Васильковая, 17",2016-09-25,Наезд на пешехода,Ясно,Пыльное,Светлое время суток,1,2,0,1,48.015159,46.327561
